"","SOC6","OCC_TITLE","TOT_EMP","A_MEDIAN","BA_Plus","Sub_BA","is_middle_edu","dominant_requirement","Analytical","Fundamental","Managerial","Mechanical","Social","Total_Skill_Sum","Rel_Social","Rel_Analytical","Rel_Fundamental","Rel_Managerial","Rel_Mechanical","is_imputed","is_middle_wage","is_middle_wage_occ","SOC"
"1","111021","General and Operations Managers",149720,140150,48.04,51.97,TRUE,"Sub-Baccalaureate",2.48625,3.62625,3.405,1.64125,3.62428571428571,14.7830357142857,0.25,0.17,0.25,0.23,0.11,FALSE,FALSE,FALSE,"111021"
"2","111031","Legislators",3270,65760,NA,NA,TRUE,"Sub-Baccalaureate",2.48625,3.62625,3.405,1.64125,3.62428571428571,NA,0.25,0.17,0.25,0.23,0.11,TRUE,TRUE,TRUE,"111031"
"3","112011","Advertising and Promotions Managers",4190,171090,59.66,40.35,FALSE,"Bachelor's or Higher",2.5,3.625,3.095,1.265,3.34,13.825,0.24,0.18,0.26,0.22,0.09,FALSE,FALSE,FALSE,"112011"
"4","112021","Marketing Managers",22180,168130,90.64,9.36,FALSE,"Bachelor's or Higher",2.735,3.69,3.095,1.20375,3.51714285714286,14.2408928571429,0.25,0.19,0.26,0.22,0.08,FALSE,FALSE,FALSE,"112021"
"5","112022","Sales Managers",25840,168330,76.19,23.81,FALSE,"Bachelor's or Higher",2.7025,3.78125,3.2175,1.40625,3.85714285714286,14.9646428571429,0.26,0.18,0.25,0.22,0.09,FALSE,FALSE,FALSE,"112022"
"6","112031","Public Relations and Fundraising Managers",6450,148970,86.1,13.91,FALSE,"Bachelor's or Higher",2.57625,3.78,3.185,1.21875,3.55428571428571,14.3142857142857,0.25,0.18,0.26,0.22,0.09,FALSE,FALSE,FALSE,"112031"
"7","113011","Administrative Services Managers",21290,117060,31.44,68.55,TRUE,"Sub-Baccalaureate",2.235,3.48375,3.0925,1.45375,3.32142857142857,13.5864285714286,0.24,0.16,0.26,0.23,0.11,FALSE,FALSE,FALSE,"113011"
"8","113021","Computer and Information Systems Managers",31930,159270,97.51,2.5,FALSE,"Bachelor's or Higher",3.03125,3.75,3.22,2.38875,3.48142857142857,15.8714285714286,0.22,0.19,0.24,0.2,0.15,FALSE,FALSE,FALSE,"113021"
"9","113031","Financial Managers",49030,168360,85.27,14.735,FALSE,"Bachelor's or Higher",2.634375,3.84375,3.18625,1.179375,3.38285714285714,14.2266071428571,0.24,0.19,0.27,0.22,0.08,FALSE,FALSE,FALSE,"113031"
"10","113051","Industrial Production Managers",6220,116110,54.26,45.74,FALSE,"Bachelor's or Higher",2.7459375,3.6603125,3.381875,2.4496875,3.31321428571429,15.5510267857143,0.21,0.18,0.24,0.22,0.16,FALSE,FALSE,FALSE,"113051"
